U,A_j,alpha,threshold,mean_corr,median_corr,std_corr
0.3,5.0,1.0,0.1,0.1874553244885058,0.1894939917273738,0.08862962316702316
0.9,0.0,0.0,0.2,-0.002477365720208981,-0.004011357425065542,0.027352480703528043
0.6,0.0,0.0,0.2,-0.006518880429229571,-0.005280297646018265,0.0245304831037743
0.3,0.0,0.0,0.2,-0.0044886752236311354,-0.007449228854747281,0.025608518599065825
0.9,0.5,0.0,0.2,0.4748692670419872,0.49372060104643833,0.186827880312529
0.6,0.5,0.0,0.2,0.4180412156042669,0.4267092117771509,0.14582075913820539
0.3,0.5,0.0,0.2,0.38898350469602866,0.3806607459049588,0.12085525285984203
0.9,1.0,0.0,0.2,0.47457563237203154,0.4680599015301535,0.18637719355685728
0.6,1.0,0.0,0.2,0.415364088124057,0.4148278219707843,0.15229619118847168
0.3,1.0,0.0,0.2,0.35552773835580737,0.34063549882633737,0.13510279475601658
0.9,1.5,0.0,0.2,0.4760257209720466,0.4691384522323313,0.16923907868949703
0.6,1.5,0.0,0.2,0.37516482296528,0.35643285927844903,0.13923677560204487
0.3,1.5,0.0,0.2,0.34763401601882704,0.34885225355169713,0.11558777123697246
0.9,2.0,0.0,0.2,0.430263120097765,0.4519851543939054,0.1671214429189744
0.6,2.0,0.0,0.2,0.33621814544958056,0.33662941026765225,0.12937724570804068
0.3,2.0,0.0,0.2,0.28710145893422784,0.2691856306659052,0.11726601287387964
0.9,2.5,0.0,0.2,0.41323681001941936,0.4109736896521863,0.15171354859513986
0.6,2.5,0.0,0.2,0.3403392032531139,0.330556792546976,0.12716687306367272
0.3,2.5,0.0,0.2,0.2759173223987267,0.28570926842462646,0.09795636444735757
0.9,3.0,0.0,0.2,0.3868144264800615,0.3801620417620158,0.16492088446279582
0.6,3.0,0.0,0.2,0.29648316592222795,0.2933685861113683,0.11451395227837131
0.3,3.0,0.0,0.2,0.2492712419953772,0.25011494409016516,0.11350683132078924
0.9,3.5,0.0,0.2,0.3599920243817783,0.3537758273815035,0.17038077806022653
0.6,3.5,0.0,0.2,0.31378052744179225,0.29420128884502117,0.13558443865360234
0.3,3.5,0.0,0.2,0.23278454955885242,0.22831921256784143,0.11265314038028035
0.9,4.0,0.0,0.2,0.3334099954778393,0.32080398809724364,0.1635289825682955
0.6,4.0,0.0,0.2,0.28073715426610035,0.2783750045114634,0.11292045543050988
0.3,4.0,0.0,0.2,0.21829577804012665,0.20501457008416485,0.10639324301447733
0.9,4.5,0.0,0.2,0.34171660079840743,0.3247061138416535,0.153859179223467
0.6,4.5,0.0,0.2,0.25843283915143467,0.2545466579893024,0.11346966890539513
0.3,4.5,0.0,0.2,0.19708290968431874,0.1835430708290628,0.09190088998142655
0.9,5.0,0.0,0.2,0.3098879441903776,0.28590578401705247,0.17047668512087139
0.6,5.0,0.0,0.2,0.2532965380650091,0.2332814439578197,0.10958866224692826
0.3,5.0,0.0,0.2,0.17866763481216727,0.16988663322151382,0.08594744300152894
0.9,0.0,0.25,0.2,0.004568919016363757,0.001762606469642458,0.026921021432169685
0.6,0.0,0.25,0.2,-0.002359685193415915,-0.004796555199991288,0.02796428829163794
0.3,0.0,0.25,0.2,-0.0039066551467417995,-0.002624193011525465,0.024897021035337148
0.9,0.5,0.25,0.2,0.4760669324434299,0.45719733513896443,0.18229757729044221
0.6,0.5,0.25,0.2,0.4385276287011412,0.4451061032286071,0.14965626592242925
0.3,0.5,0.25,0.2,0.3909916016048325,0.3794412805338997,0.1372360303636858
0.9,1.0,0.25,0.2,0.48170374458888354,0.4963917023640232,0.16946221866322395
0.6,1.0,0.25,0.2,0.40463852141777434,0.39861870431951085,0.1419672763410048
0.3,1.0,0.25,0.2,0.371516453078412,0.36232438765646313,0.1323276363863283
0.9,1.5,0.25,0.2,0.46325141690971117,0.4676975310125923,0.1892332244423203
0.6,1.5,0.25,0.2,0.3759283414685533,0.3605839036698119,0.13165561148519225
0.3,1.5,0.25,0.2,0.3289072734321956,0.34419494028059205,0.1246383020276039
0.9,2.0,0.25,0.2,0.43964045443890143,0.4127440743065576,0.17985001469635964
0.6,2.0,0.25,0.2,0.34675179923414395,0.32625831824704843,0.15390009157505663
0.3,2.0,0.25,0.2,0.3008498184245718,0.2851104322252097,0.11455418721452625
0.9,2.5,0.25,0.2,0.39880657475426323,0.3993104074858932,0.16464846399985214
0.6,2.5,0.25,0.2,0.34004571747075935,0.3127322893438872,0.14410922219725236
0.3,2.5,0.25,0.2,0.2952045841170168,0.29287702962079604,0.10808721071287557
0.9,3.0,0.25,0.2,0.4093412755985211,0.4158397433412342,0.16556283108254222
0.6,3.0,0.25,0.2,0.3013312382215772,0.29098004708770253,0.12273921946938918
0.3,3.0,0.25,0.2,0.2545428944705702,0.24379150715700515,0.11356043795701076
0.9,3.5,0.25,0.2,0.36996704296056926,0.36215132988000476,0.14508149916307256
0.6,3.5,0.25,0.2,0.3034545235816668,0.2878235562011655,0.13024856510210062
0.3,3.5,0.25,0.2,0.23236734328169242,0.21823261160977714,0.10188874065176688
0.9,4.0,0.25,0.2,0.35270705230957583,0.3274478916212906,0.16380923670784914
0.6,4.0,0.25,0.2,0.2713720904705075,0.2704075245246248,0.11849006968415453
0.3,4.0,0.25,0.2,0.2123232288679328,0.20192272833184394,0.09129780094915874
0.9,4.5,0.25,0.2,0.3665851263748233,0.3724749397476267,0.1643245053530829
0.6,4.5,0.25,0.2,0.26483296335775647,0.2554703578231686,0.11602078816728595
0.3,4.5,0.25,0.2,0.21138779037426952,0.208530220164592,0.09016152440349902
0.9,5.0,0.25,0.2,0.3171011681819681,0.3095124152042163,0.1507650423827903
0.6,5.0,0.25,0.2,0.24697733080220555,0.23687562602637083,0.1099266976956682
0.3,5.0,0.25,0.2,0.19323717500789436,0.19288328761534435,0.09417514020757678
0.9,0.0,0.5,0.2,0.0017905404581883744,-0.0021221152924823733,0.02369908626002046
0.6,0.0,0.5,0.2,0.000375493612373525,0.0013950310105622778,0.03023054180243597
0.3,0.0,0.5,0.2,0.0013072890920232546,0.0018938266288848612,0.029624643944165238
0.9,0.5,0.5,0.2,0.5152155700579719,0.5091866397540468,0.18757409543629985
0.6,0.5,0.5,0.2,0.4401381587284314,0.42652043544626095,0.13767289856782328
0.3,0.5,0.5,0.2,0.3600259466068491,0.34457242160897295,0.1270982696194087
0.9,1.0,0.5,0.2,0.4793518913806862,0.4802299572565647,0.1637962782250792
0.6,1.0,0.5,0.2,0.4258902994083968,0.43036359654513634,0.13808670648723706
0.3,1.0,0.5,0.2,0.363229498914806,0.374923273818057,0.12822057232465867
0.9,1.5,0.5,0.2,0.481321080281296,0.4965794956097549,0.18559558410378954
0.6,1.5,0.5,0.2,0.3789355708169784,0.36355437198118745,0.14167554425961443
0.3,1.5,0.5,0.2,0.32863032210961324,0.3256323100880554,0.1203074756451446
0.9,2.0,0.5,0.2,0.42239038919876853,0.4099406674193345,0.18524289411248304
0.6,2.0,0.5,0.2,0.33904279781049185,0.3439369203345186,0.1327696326245211
0.3,2.0,0.5,0.2,0.3031073015736611,0.2946448276327271,0.11439794896438835
0.9,2.5,0.5,0.2,0.4226047553255826,0.4087563458092401,0.1594718948550059
