U,A_j,alpha,threshold,mean_I,median_I,std_I
0.9,3.0,1.0,0.3,0.08939402445229729,0.03292646616435228,0.22357130186978413
0.9,4.0,0.0,0.1,1.0,1.0,7.195067539997723e-17
0.9,4.0,0.0,0.2,1.0,1.0,1.1046579618885443e-16
0.9,4.0,0.0,0.3,1.0,1.0,1.137640067256873e-16
0.9,4.0,1.0,0.1,0.043697380421401144,0.03180935824336406,0.09689843146146
0.9,4.0,1.0,0.2,0.06378577593070629,0.03259880093755593,0.16074557226300068
0.9,4.0,1.0,0.3,0.07001967265675217,0.03382471685556711,0.18407426071936206
0.9,5.0,0.0,0.1,1.0,1.0,7.195067539997723e-17
0.9,5.0,0.0,0.2,1.0,1.0,1.0175362097255203e-16
0.9,5.0,0.0,0.3,1.0,1.0,1.0821115497893178e-16
0.9,5.0,1.0,0.1,0.05986417336475505,0.037441845271754634,0.13163788912659083
0.9,5.0,1.0,0.2,0.08036911318289848,0.029773470818764594,0.20790275558935567
0.9,5.0,1.0,0.3,0.06548423114426108,0.02641679292677964,0.1864681296183409
