U,A_j,alpha,threshold,mean_I,median_I,std_I
0.9,3.5,0.0,0.1,0.5439144528054305,0.5477685728321366,0.19452636134499193
0.9,3.5,0.0,0.2,0.39626119721929454,0.3613103810160008,0.2166441664074508
0.9,3.5,0.0,0.3,0.3429042780926745,0.3125073870468239,0.215670267574833
0.9,3.5,0.25,0.1,0.517991121568844,0.4930836466665617,0.18412930111008588
0.9,3.5,0.25,0.2,0.41769831623931536,0.42374141046841785,0.21400444952700168
0.9,3.5,0.25,0.3,0.3618157465445313,0.374535631372087,0.23263569619332392
0.9,3.5,0.5,0.1,0.5108115254460152,0.4966450402643898,0.17068716105720222
0.9,3.5,0.5,0.2,0.3996863310413595,0.39885659135474344,0.20399531010406366
0.9,3.5,0.5,0.3,0.3046747029079554,0.2785378018692017,0.20320594542313528
0.9,3.5,0.75,0.1,0.5224405524730718,0.514308861630846,0.19520578623394486
0.9,3.5,0.75,0.2,0.39993538170969195,0.39628529184712097,0.19259701390951908
0.9,3.5,0.75,0.3,0.2978011373677329,0.2510244568909525,0.20186975342952762
0.9,3.5,1.0,0.1,0.5450594813956989,0.533542433651326,0.19781205665401425
0.9,3.5,1.0,0.2,0.4052015879432853,0.3904664658854916,0.194771892252643
0.9,3.5,1.0,0.3,0.3294709982260226,0.29094341452551514,0.20171098848828237
